Time:1Hz,Epoch,F4,Event Id,Event Date,Event Duration
14.1250000000,226,1.0001045642,,,
14.1875000000,227,0.8638723757,,,
14.2500000000,228,0.7982658937,,,
14.3125000000,229,0.8719704709,,,
14.3750000000,230,0.8622962013,,,
14.4375000000,231,0.9029337020,,,
14.5000000000,232,0.8318513561,,,
14.5625000000,233,0.7815421981,,,
14.6250000000,234,0.7111723118,,,
14.6875000000,235,0.6031835340,,,
14.7500000000,236,0.5474128616,,,
14.8125000000,237,0.6478770008,,,
14.8750000000,238,0.6844536763,,,
14.9375000000,239,0.7061123900,,,
15.0000000000,240,0.7744037317,,,
15.0625000000,241,0.7911995376,,,
15.1250000000,242,0.7927032344,,,
15.1875000000,243,0.8011766170,,,
15.2500000000,244,0.8006350718,,,
15.3125000000,245,0.7586856157,,,
15.3750000000,246,0.7376011259,,,
15.4375000000,247,0.7288014049,,,
15.5000000000,248,0.7532457849,,,
15.5625000000,249,0.7667166253,,,
15.6250000000,250,0.8230901832,,,
15.6875000000,251,0.9143938620,,,
15.7500000000,252,1.0648526347,,,
15.8125000000,253,1.1033360622,,,
15.8750000000,254,1.1753354109,,,
15.9375000000,255,1.3107271428,,,
16.0000000000,256,1.4144108033,,,
16.0625000000,257,1.5883447996,,,
16.1250000000,258,1.8575909108,,,
16.1875000000,259,2.3488391088,,,
16.2500000000,260,2.8742571587,,,
16.3125000000,261,3.0456420232,,,
16.3750000000,262,3.0929736671,,,
16.4375000000,263,3.1461655482,,,
16.5000000000,264,3.0287905548,,,
16.5625000000,265,2.7940985440,,,
16.6250000000,266,2.4824697487,,,
16.6875000000,267,2.3360924350,,,
16.7500000000,268,2.3102194596,,,
16.8125000000,269,2.2074635767,,,
16.8750000000,270,2.3171186714,,,
16.9375000000,271,2.3263097065,,,
17.0000000000,272,2.3418607603,,,
17.0625000000,273,2.3124483241,,,
17.1250000000,274,2.1603178822,,,
17.1875000000,275,1.8045234761,,,
17.2500000000,276,1.2710417164,,,
17.3125000000,277,1.2126290486,,,
17.3750000000,278,1.2478345626,,,
17.4375000000,279,1.2912444097,,,
17.5000000000,280,1.3330844409,,,
17.5625000000,281,1.3773748106,,,
17.6250000000,282,1.3981798722,,,
17.6875000000,283,1.3233282984,,,
17.7500000000,284,1.1092054251,,,
17.8125000000,285,0.9731340164,,,
17.8750000000,286,0.9113781597,,,
17.9375000000,287,0.8908805253,,,
18.0000000000,288,0.8993842696,,,
18.0625000000,289,0.9740382271,,,
18.1250000000,290,1.0694410762,,,
18.1875000000,291,1.1245828725,,,
18.2500000000,292,1.1791745748,,,
18.3125000000,293,1.1105176284,,,
18.3750000000,294,1.1060231356,,,
18.4375000000,295,1.0302700503,,,
18.5000000000,296,1.0337006119,,,
18.5625000000,297,1.0572305993,,,
18.6250000000,298,1.1489779743,,,
18.6875000000,299,1.3117273011,,,
18.7500000000,300,1.6381847018,,,
18.8125000000,301,2.2041053890,,,
18.8750000000,302,2.7320878002,,,
18.9375000000,303,3.1199091667,,,
19.0000000000,304,3.4118767763,,,
19.0625000000,305,3.3446010561,,,
19.1250000000,306,2.8809007382,,,
19.1875000000,307,2.6552919478,,,
19.2500000000,308,2.5344192230,,,
19.3125000000,309,2.5312462259,,,
19.3750000000,310,2.1681490779,,,
19.4375000000,311,1.9442715830,,,
19.5000000000,312,1.7899372320,,,
19.5625000000,313,1.5742725072,,,
19.6250000000,314,1.5242314773,,,
19.6875000000,315,1.6740880518,,,
19.7500000000,316,1.6885784067,,,
19.8125000000,317,1.7605520963,,,
19.8750000000,318,1.8055982935,,,
19.9375000000,319,1.8068299188,,,
20.0000000000,320,1.7673866420,,,
20.0625000000,321,1.5673828829,,,
20.1250000000,322,1.5639716331,,,
20.1875000000,323,1.5551847500,,,
20.2500000000,324,1.5754132325,,,
20.3125000000,325,1.5310524450,,,
20.3750000000,326,1.5846598694,,,
20.4375000000,327,1.7046196740,,,
20.5000000000,328,1.7988223815,,,
20.5625000000,329,1.9501647825,,,
20.6250000000,330,2.0322908254,,,
20.6875000000,331,1.9569971501,,,
20.7500000000,332,2.0525829202,,,
20.8125000000,333,2.1976852019,,,
20.8750000000,334,2.3537626077,,,
20.9375000000,335,2.3134392525,,,
21.0000000000,336,2.3052301887,,,
21.0625000000,337,2.6202871284,,,
21.1250000000,338,3.0067890635,,,
21.1875000000,339,3.3697422902,,,
21.2500000000,340,3.5714800845,,,
21.3125000000,341,3.9547698534,,,
21.3750000000,342,4.2874204472,,,
21.4375000000,343,4.6084430034,,,
21.5000000000,344,4.7553282318,,,
21.5625000000,345,4.8517330530,,,
21.6250000000,346,4.8113756829,,,
21.6875000000,347,4.5886840087,,,
21.7500000000,348,4.4523008917,,,
21.8125000000,349,4.6791156861,,,
21.8750000000,350,4.4884741165,,,
21.9375000000,351,3.7452637981,,,
22.0000000000,352,3.1365462429,,,
22.0625000000,353,2.9831882102,,,
22.1250000000,354,3.0892630436,,,
22.1875000000,355,2.8731373798,,,
22.2500000000,356,2.9087271588,,,
22.3125000000,357,2.9229791389,,,
22.3750000000,358,2.9467333072,,,
22.4375000000,359,3.1928609376,,,
22.5000000000,360,2.7609039476,,,
22.5625000000,361,2.4761043968,,,
22.6250000000,362,2.5133448015,,,
22.6875000000,363,2.7631419855,,,
22.7500000000,364,2.8801284831,,,
22.8125000000,365,2.7381540402,,,
22.8750000000,366,2.5948918123,,,
22.9375000000,367,2.5754655986,,,
