Time:1Hz,Epoch,F3,F4,C3,Cz,C4,P3,P4,O1,O2,Event Id,Event Date,Event Duration
3.0625000000,49,7.2129135066,4.9868410549,0.6845554954,0.6682391247,1.5886475768,0.5371382205,2.3921664719,2.8066132946,4.4030974527,,,
3.1250000000,50,6.9128489863,5.4633115622,0.6553983225,0.6482915791,1.4986935652,0.6026370241,2.3199241062,3.0623851639,4.3090491050,,,
3.1875000000,51,6.7079330487,5.5641878350,0.7033597566,0.6512987074,1.4156914383,0.5933138446,2.3097338584,3.0658691138,4.2957586414,,,
3.2500000000,52,6.4829529668,5.4571014483,0.7529134593,0.7307005669,1.3192986090,0.5623898886,2.3154641570,3.0024919718,4.3256880219,,,
3.3125000000,53,6.2592162453,5.3812296434,0.7613080429,0.7772204069,1.1766510649,0.5842449092,2.2698369803,3.0246990112,4.3574608063,,,
3.3750000000,54,6.2918850412,5.4362836109,0.7292034313,0.8105552654,1.0223566190,0.5989900666,2.2528400323,3.0277603928,4.5917545856,,,
3.4375000000,55,6.8623762157,5.6813536614,0.7110579781,0.8614465039,0.9370007993,0.5842754329,2.4051517812,3.0433256959,5.0586007529,,,
3.5000000000,56,7.3228511711,5.8987690239,0.7302613088,0.9145393851,1.0055411024,0.6403011906,2.6134453930,3.1329814641,5.3873445569,,,
3.5625000000,57,7.3773343800,6.0288613527,0.7380455606,0.9355899226,1.0803128190,0.7609891550,2.7079021076,3.5045811901,5.5081110120,,,
3.6250000000,58,7.1973043354,6.0972314028,0.7285393513,0.9526567721,1.0814370821,0.8791527281,2.6503096050,4.0119122542,5.4482285246,,,
3.6875000000,59,6.9531205551,6.1208485628,0.7339479867,1.0317090630,1.0188634381,0.9664531143,2.5148966935,4.4022717911,5.3452491941,,,
3.7500000000,60,6.7627473622,5.9626882822,0.7371845962,1.1907754280,0.9078357239,0.9781164849,2.3345683509,4.7417965151,5.2189717580,,,
3.8125000000,61,6.3942149667,5.6533518251,0.7234053339,1.2777903464,0.8341130193,0.9921834285,2.0841546559,4.8119757824,4.8129474350,,,
3.8750000000,62,5.6765915865,5.2751219551,0.6655112167,1.2998524276,0.8261154316,1.0484982808,1.7719826826,4.7095658121,4.1954571377,,,
3.9375000000,63,5.0928936406,4.8601264756,0.6714467624,1.3340853973,0.8306133907,1.0990734535,1.5130885949,4.6974551070,3.7651249934,,,
4.0000000000,64,4.5126505585,4.1979588067,0.6771101243,1.3154826623,0.8297646848,1.0917094487,1.3059834445,4.4325633867,3.3399859224,,,
4.0625000000,65,4.2588615447,3.3735084657,0.7086349764,1.2545944452,0.8292462920,0.9810544037,1.2418774455,3.9607066195,3.1440050095,,,
4.1250000000,66,4.3620643430,2.9496801494,0.7192197127,1.1954480369,0.8494647705,0.8862997069,1.2796230790,3.8006761455,3.2194738720,,,
4.1875000000,67,4.6411932715,2.9796322380,0.7431904380,1.1775526181,0.8840803376,0.9064468094,1.2956557743,4.3447356565,3.5895334780,,,
4.2500000000,68,4.8444443317,3.0812443263,0.7706604920,1.1750261861,0.9036258973,0.9247755960,1.2967513546,4.8206609943,3.9805160672,,,
4.3125000000,69,4.9653483384,3.1877461855,0.7698975119,1.2021996053,0.9239948567,0.9120116188,1.3214557919,4.9958634128,4.1818364225,,,
4.3750000000,70,4.9400839940,3.3104644514,0.7777472855,1.2085639877,0.8923397465,0.9015388948,1.3680536705,5.0776167844,4.1309144838,,,
4.4375000000,71,4.5186860790,3.3781101418,0.7606861505,1.1573759667,0.8116192522,0.9079111941,1.2901204715,5.0818069193,3.8335183109,,,
4.5000000000,72,4.2563329583,3.4696658141,0.7459565934,1.0995359831,0.7240440260,0.9005955662,1.1729035682,5.0586151744,3.6478612196,,,
4.5625000000,73,4.8835875514,3.8563860785,0.7541953384,1.0660174306,0.6441027745,0.9765262979,1.1765593165,4.8821989178,3.7047223808,,,
4.6250000000,74,6.6364955255,4.8123468790,0.7800450036,1.0098250892,0.6770373350,1.1748731195,1.4301644205,4.5625431406,3.9574449949,,,
4.6875000000,75,8.2261925665,5.9223814450,0.8091824018,0.9858327749,0.6924277546,1.4211052950,1.6913154359,4.1771223853,4.1541798029,,,
4.7500000000,76,9.1405278493,7.0048746778,0.7818262169,0.9618113156,0.6961529798,1.7334531459,1.7974508369,3.7999538837,4.0539701399,,,
4.8125000000,77,9.6330075022,7.8240381211,0.7065628129,1.0360556644,0.6684322273,1.9806488838,1.8244253378,3.7654441539,3.9219619889,,,
4.8750000000,78,9.8722934768,8.0459337372,0.6936183784,1.1025330218,0.6367114891,2.0581997197,1.8451390939,3.8855972320,4.0111528660,,,
4.9375000000,79,9.8649032818,8.1061548897,0.6925425790,1.0523260447,0.6592624599,2.0200336180,1.8277054130,3.7998831702,4.0286416707,,,
5.0000000000,80,10.5007632398,8.6992075430,0.6901644694,1.0203484510,0.7102553324,2.0480233439,1.9242606821,3.7414958017,4.0643558029,,,
5.0625000000,81,11.3525908231,9.5030530364,0.6544971851,1.0168229011,0.7304180473,2.1620605652,2.0376636089,3.8597357213,4.1712839423,,,
5.1250000000,82,11.9839335653,9.8939057302,0.6164409248,1.0172052435,0.6842932848,2.2218529228,2.0862349182,3.8921710246,4.1901643890,,,
5.1875000000,83,12.0189277533,9.8813247573,0.5795752496,0.9287815609,0.6330152797,2.1773130071,2.0574790286,3.3404448081,3.8277811229,,,
5.2500000000,84,11.7885767305,10.0957985624,0.5807575374,0.8415869598,0.7123012884,2.2309102003,2.0191647824,2.9198226851,3.4350810730,,,
5.3125000000,85,11.6675201391,10.4810345313,0.6198822307,0.8185227557,0.8755093820,2.4190354637,1.9868180824,2.9300800762,3.3420354912,,,
5.3750000000,86,11.7180318412,10.8581363594,0.6805099268,0.8712558579,1.0039386768,2.6310084644,1.9605878034,3.2078707626,3.5491674268,,,
5.4375000000,87,11.8656726928,11.1767745495,0.6997250728,0.9987257764,1.0948796571,2.8028498771,1.9374457984,3.6470117173,3.8866362786,,,
5.5000000000,88,11.9653095637,11.5135531745,0.7146357153,1.1256328840,1.1630227792,2.9142795198,1.9032254582,4.1238706055,4.1708620313,,,
5.5625000000,89,11.2137326697,11.4275757772,0.7454612917,1.1603007536,1.2213617162,2.8946863537,1.7723205857,4.3054232129,4.1199570259,,,
5.6250000000,90,9.2033268903,10.7002519564,0.7589410431,1.1765131247,1.3141559983,2.7438962981,1.4543987427,4.2212206338,3.7897488622,,,
5.6875000000,91,7.3801411774,10.0617316467,0.7106932147,1.2298616948,1.5972721685,2.6382618960,1.1594883047,4.4672770222,3.7619536262,,,
5.7500000000,92,6.1510344617,9.4080811076,0.6931310976,1.3168743406,1.9014912104,2.5613070893,0.9808328043,4.9043317303,4.0934511768,,,
5.8125000000,93,5.3284991138,8.7145591576,0.7199381470,1.2597162781,2.0343379822,2.4563375080,0.9148680683,5.0577262013,4.3149196927,,,
5.8750000000,94,4.9702403944,8.4512790590,0.7047278008,1.1880139800,2.0543190233,2.4137763495,0.8873386447,5.0320991915,4.3474537277,,,
5.9375000000,95,4.8427315051,8.3051150186,0.6424716954,1.1797231333,2.0119942062,2.4342451658,0.8772581417,4.9713904014,4.3505891465,,,
6.0000000000,96,4.1991032599,7.6852499123,0.6445320535,1.2164262926,1.9662396498,2.3944537101,0.7852427120,4.9216521596,4.5265426717,,,
6.0625000000,97,3.2341964657,6.9189475849,0.6980105232,1.2917056055,1.9522552590,2.3316639206,0.6477575073,4.8243856989,4.6737632234,,,
6.1250000000,98,2.4761819142,6.5158653016,0.7142651244,1.3249136984,1.9389077171,2.3364546178,0.5784109058,4.7103801409,4.6550352868,,,
6.1875000000,99,2.1371401383,6.4559654427,0.6624667717,1.3459667458,1.9249503602,2.3535663257,0.5557312578,4.7919951639,4.7021394018,,,
